Title,female,male,authors_nr,female_nr,male_nr,participation_f,participation_m,Title,Year,auhtors_nr_cat,authors_nr_cat
Intergenerational Mobility and Gender Gap: Evidence from Mediterranean Countries,1.0,0.0,2,2,0,1,0,Intergenerational Mobility and Gender Gap: Evidence from Mediterranean Countries,2012,2,2
Intergenerational Socioeconomic Mobility and Cognitive Impairment Among Chinese Older Adults: Gender Differences,0.5,0.5,2,1,1,1,1,Intergenerational Socioeconomic Mobility and Cognitive Impairment Among Chinese Older Adults: Gender Differences,2022,2,2
Intergenerational support and depression among Chinese older adults: do gender and widowhood make a difference?,0.67,0.33,3,2,1,1,1,Intergenerational support and depression among Chinese older adults: do gender and widowhood make a difference?,2015,3,3
Intergenerational transmission of gender segregation : How parents’ occupational field affects gender differences in field of study choices,1.0,0.0,1,1,0,1,0,Intergenerational transmission of gender segregation : How parents’ occupational field affects gender differences in field of study choices,2018,1,1
Intergroup Gender Biases Measure,1.0,0.0,3,3,0,1,0,Intergroup Gender Biases Measure,2016,3,3
"Internal migration, children’s schooling and gender gaps in education",1.0,0.0,2,2,0,1,0,"Internal migration, children’s schooling and gender gaps in education",2022,2,2
Internalized Oppression: The Impact of Gender and Racial Bias in Employment on the Health Status of Women of Color,1.0,0.0,1,1,0,1,0,Internalized Oppression: The Impact of Gender and Racial Bias in Employment on the Health Status of Women of Color,2019,1,1
"Internalized Racism and Gendered Colorism Among African Americans: a Study of Intragroup Bias, Perceived Discrimination, and Psychological Well-being",1.0,0.0,2,2,0,1,0,"Internalized Racism and Gendered Colorism Among African Americans: a Study of Intragroup Bias, Perceived Discrimination, and Psychological Well-being",2022,2,2
Internalizing and Externalizing Problems in Adolescents Analyzing the Gender Difference,1.0,0.0,1,1,0,1,0,Internalizing and Externalizing Problems in Adolescents Analyzing the Gender Difference,2016,1,1
International Differences in the Gender Pay Gap,1.0,0.0,1,1,0,1,0,International Differences in the Gender Pay Gap,2012,1,1
International Evidence on the Gender Gap in Education over the Past Six Decades: A Puzzle and an Answer to It,0.0,1.0,1,0,1,0,1,International Evidence on the Gender Gap in Education over the Past Six Decades: A Puzzle and an Answer to It,2012,1,1
International Gender Differences and Gaps in Online Social Networks,0.0,1.0,2,0,2,0,1,International Gender Differences and Gaps in Online Social Networks,2014,2,2
"International Trade , the Gender Wage Gap , Female Labor Force Participation and Growth ∗",0.0,1.0,1,0,1,0,1,"International Trade , the Gender Wage Gap , Female Labor Force Participation and Growth ∗",2012,1,1
International perspective on healthcare provider gender bias in musculoskeletal pain management: a scoping review protocol,0.8,0.2,5,4,1,1,1,International perspective on healthcare provider gender bias in musculoskeletal pain management: a scoping review protocol,2022,5-10,5-10
International trade openness and gender gaps in Pakistani labor force participation rates over 57 years,0.5,0.5,2,1,1,1,1,International trade openness and gender gaps in Pakistani labor force participation rates over 57 years,2012,2,2
Internet Gaming Disorder in Early Adolescents: Gender and Depression Differences in a Latent Growth Model,0.8,0.2,5,4,1,1,1,Internet Gaming Disorder in Early Adolescents: Gender and Depression Differences in a Latent Growth Model,2021,5-10,5-10
Internet use and gender wage gap: evidence from China,1.0,0.0,1,1,0,1,0,Internet use and gender wage gap: evidence from China,2022,1,1
Internet-specific epistemological beliefs and online information searching strategies of pre-service teachers: gender and department differences,1.0,0.0,1,1,0,1,0,Internet-specific epistemological beliefs and online information searching strategies of pre-service teachers: gender and department differences,2016,1,1
"Interpersonal emotion regulation in children: Age, gender, and cross-cultural differences using a serious game",1.0,0.0,2,2,0,1,0,"Interpersonal emotion regulation in children: Age, gender, and cross-cultural differences using a serious game",2019,2,2
Interpersonal reactivity index: analysis of invariance and gender differences in spanish youths,0.5,0.5,4,2,2,1,1,Interpersonal reactivity index: analysis of invariance and gender differences in spanish youths,2013,4,4
Interpreting Gender Bias in Neural Machine Translation: Multilingual Architecture Matters,0.67,0.33,6,4,2,1,1,Interpreting Gender Bias in Neural Machine Translation: Multilingual Architecture Matters,2022,5-10,5-10
Interracial Couples in Ads: Do Consumers' Gender and Racial Differences Affect Their Reactions?,0.67,0.33,3,2,1,1,1,Interracial Couples in Ads: Do Consumers' Gender and Racial Differences Affect Their Reactions?,2018,3,3
"Intersecting gender, evaluations, and examinations: Averting gender bias in an obstetrics and gynecology clerkship in the United States",0.6,0.4,5,3,2,1,1,"Intersecting gender, evaluations, and examinations: Averting gender bias in an obstetrics and gynecology clerkship in the United States",2016,5-10,5-10
"Intersecting the Academic Gender Gap: The Education of Lesbian, Gay and Bisexual America",0.0,1.0,1,0,1,0,1,"Intersecting the Academic Gender Gap: The Education of Lesbian, Gay and Bisexual America",2021,1,1
"Intersecting the Academic Gender Gap: The Education of Lesbian, Gay, and Bisexual America",0.0,1.0,1,0,1,0,1,"Intersecting the Academic Gender Gap: The Education of Lesbian, Gay, and Bisexual America",2022,1,1
Intersection of Gender and Race/Ethnicity in Sexual Orientation-Motivated Bias Crimes,1.0,0.0,1,1,0,1,0,Intersection of Gender and Race/Ethnicity in Sexual Orientation-Motivated Bias Crimes,2013,1,1
"Intersectional Masculinities and Gendered Political Consciousness: How Do Race, Ethnicity and Sexuality Shape Men’s Awareness of Gender Inequality and Support for Gender Activism?",1.0,0.0,1,1,0,1,0,"Intersectional Masculinities and Gendered Political Consciousness: How Do Race, Ethnicity and Sexuality Shape Men’s Awareness of Gender Inequality and Support for Gender Activism?",2017,1,1
Intersectional Study of the Gender Gap in STEM through the Identification of Missing Datasets about Women: A Multisided Problem,1.0,0.0,1,1,0,1,0,Intersectional Study of the Gender Gap in STEM through the Identification of Missing Datasets about Women: A Multisided Problem,2022,1,1
Intersectionality and Global Gender Inequality,1.0,0.0,1,1,0,1,0,Intersectionality and Global Gender Inequality,2012,1,1
Intersectionality: How Gender Studies Might Inspire the Analysis of Social Inequality among Migrants,0.0,1.0,1,0,1,0,1,Intersectionality: How Gender Studies Might Inspire the Analysis of Social Inequality among Migrants,2012,1,1
Intersections between gender and other relevant social determinants of health inequalities,1.0,0.0,2,2,0,1,0,Intersections between gender and other relevant social determinants of health inequalities,2017,2,2
Intertwining gender inequalities and gender-neutral legitimacy in job evaluation and performance-related pay,1.0,0.0,1,1,0,1,0,Intertwining gender inequalities and gender-neutral legitimacy in job evaluation and performance-related pay,2017,1,1
"Interventions addressing men, masculinities and gender equality in sexual and reproductive health and rights: an evidence and gap map and systematic review of reviews",0.8,0.2,5,4,1,1,1,"Interventions addressing men, masculinities and gender equality in sexual and reproductive health and rights: an evidence and gap map and systematic review of reviews",2019,5-10,5-10
Interventions to reduce adverse health outcomes resulting from manifestations of gender bias amongst immigrant populations: a scoping review,0.5,0.5,4,2,2,1,1,Interventions to reduce adverse health outcomes resulting from manifestations of gender bias amongst immigrant populations: a scoping review,2018,4,4
Interview with an avatar: Comparing online and virtual reality perspective taking for gender bias in STEM hiring decisions,1.0,0.0,2,2,0,1,0,Interview with an avatar: Comparing online and virtual reality perspective taking for gender bias in STEM hiring decisions,2022,2,2
Intimate partner violence victimisation in early adulthood: psychometric properties of a new measure and gender differences in the Avon Longitudinal Study of Parents and Children,0.4,0.6,5,2,3,1,1,Intimate partner violence victimisation in early adulthood: psychometric properties of a new measure and gender differences in the Avon Longitudinal Study of Parents and Children,2019,5-10,5-10
Intonation Unit Size in Spontaneous Hebrew: Gender and Channel Differences,0.5,0.5,2,1,1,1,1,Intonation Unit Size in Spontaneous Hebrew: Gender and Channel Differences,2014,2,2
Intraoperative study on anthropometry and gender differences of the proximal tibial plateau at the arthroplasty resection surface,0.38,0.62,8,3,5,1,1,Intraoperative study on anthropometry and gender differences of the proximal tibial plateau at the arthroplasty resection surface,2014,5-10,5-10
Intrapersonal and Interpersonal Sexual Behaviors of Chinese University Students: Gender Differences in Prevalence and Correlates,0.67,0.33,3,2,1,1,1,Intrapersonal and Interpersonal Sexual Behaviors of Chinese University Students: Gender Differences in Prevalence and Correlates,2015,3,3
Introduction to Gender Differences in Computer and Information Literacy,0.75,0.25,4,3,1,1,1,Introduction to Gender Differences in Computer and Information Literacy,2019,4,4
Introduction to the Special Issue ‘The Determinants of Gender Gaps’,1.0,0.0,2,2,0,1,0,Introduction to the Special Issue ‘The Determinants of Gender Gaps’,2015,2,2
Introduction to the Special Section on Culture and Variants of Sex/Gender: Bias and Stigma,0.0,1.0,1,0,1,0,1,Introduction to the Special Section on Culture and Variants of Sex/Gender: Bias and Stigma,2016,1,1
Introduction: Gender Inequalities in Production and Reproduction,1.0,0.0,4,4,0,1,0,Introduction: Gender Inequalities in Production and Reproduction,2012,4,4
Introduction: Gender Inequality in Metal Music Production,0.5,0.5,2,1,1,1,1,Introduction: Gender Inequality in Metal Music Production,2018,2,2
Introduction: Gender and Inequalities,1.0,0.0,2,2,0,1,0,Introduction: Gender and Inequalities,2015,2,2
Invalidation: A Neglected Dimension of Gender-based Violence and Inequality,0.0,1.0,1,0,1,0,1,Invalidation: A Neglected Dimension of Gender-based Violence and Inequality,2012,1,1
Inverse Relation between MxA Gene Expression and Age in Multiple Sclerosis Patients Reveals a Gender Difference in Response to Interferon Therapy,0.25,0.75,4,1,3,1,1,Inverse Relation between MxA Gene Expression and Age in Multiple Sclerosis Patients Reveals a Gender Difference in Response to Interferon Therapy,2017,4,4
Investigating Cross-Linguistic Gender Bias in Hindi-English Across Domains,1.0,0.0,1,1,0,1,0,Investigating Cross-Linguistic Gender Bias in Hindi-English Across Domains,2021,1,1
Investigating Gender Bias in BERT,0.33,0.67,3,1,2,1,1,Investigating Gender Bias in BERT,2020,3,3
Investigating Gender Bias in Language Models Using Causal Mediation Analysis,0.14,0.86,7,1,6,1,1,Investigating Gender Bias in Language Models Using Causal Mediation Analysis,2020,5-10,5-10
Investigating Gender Differences in Mathematics and Science: Results from the 2011 Trends in Mathematics and Science Survey,0.33,0.67,3,1,2,1,1,Investigating Gender Differences in Mathematics and Science: Results from the 2011 Trends in Mathematics and Science Survey,2019,3,3
Investigating Gender Differences of Brain Areas in Emotion Recognition Using LSTM Neural Network,0.25,0.75,4,1,3,1,1,Investigating Gender Differences of Brain Areas in Emotion Recognition Using LSTM Neural Network,2017,4,4
Investigating Gender Differences on the Age of Suspicion of Children with Hearing Loss in Iran,0.4,0.6,5,2,3,1,1,Investigating Gender Differences on the Age of Suspicion of Children with Hearing Loss in Iran,2017,5-10,5-10
Investigating Gender Differences under Time Pressure in Financial Risk Taking,0.33,0.67,3,1,2,1,1,Investigating Gender Differences under Time Pressure in Financial Risk Taking,2017,3,3
Investigating Implicit Gender Bias and Embodiment of White Males in Virtual Reality with Full Body Visuomotor Synchrony,0.75,0.25,8,6,2,1,1,Investigating Implicit Gender Bias and Embodiment of White Males in Virtual Reality with Full Body Visuomotor Synchrony,2019,5-10,5-10
Investigating Orthorexia Nervosa With the ORTO-R in a Sample of University Students With or Without Subthreshold Autism Spectrum: Focus on Dietary Habits and Gender Differences,0.57,0.43,7,4,3,1,1,Investigating Orthorexia Nervosa With the ORTO-R in a Sample of University Students With or Without Subthreshold Autism Spectrum: Focus on Dietary Habits and Gender Differences,2022,5-10,5-10
Investigating Problem Solving Skills and Chemistry Learning Experiences of Higher Education Base on Gender and Grade Level Differences,1.0,0.0,1,1,0,1,0,Investigating Problem Solving Skills and Chemistry Learning Experiences of Higher Education Base on Gender and Grade Level Differences,2021,1,1
Investigating Psycho-Social Basis of Gender Bias and Domestic Violence in Pakistani Society,0.0,1.0,2,0,2,0,1,Investigating Psycho-Social Basis of Gender Bias and Domestic Violence in Pakistani Society,2021,2,2
"Investigating Rater–Student Interaction, Gender Bias, and Major Bias in the Assessment of Research Seminar Presentation",0.2,0.8,5,1,4,1,1,"Investigating Rater–Student Interaction, Gender Bias, and Major Bias in the Assessment of Research Seminar Presentation",2022,5-10,5-10
Investigating Student Perceptions Based on Gender Differences Using E-Module Mathematics Physics in Multiple Integral Material,0.25,0.75,4,1,3,1,1,Investigating Student Perceptions Based on Gender Differences Using E-Module Mathematics Physics in Multiple Integral Material,2021,4,4
Investigating Trust Factors in Human-Robot Shared Control: Implicit Gender Bias Around Robot Voice,0.33,0.67,3,1,2,1,1,Investigating Trust Factors in Human-Robot Shared Control: Implicit Gender Bias Around Robot Voice,2019,3,3
Investigating User Perception of Gender Bias in Image Search: The Role of Sexism,0.25,0.75,4,1,3,1,1,Investigating User Perception of Gender Bias in Image Search: The Role of Sexism,2018,4,4
Investigating forty years of stem research: How explanations for the gender gap have evolved over time,1.0,0.0,2,2,0,1,0,Investigating forty years of stem research: How explanations for the gender gap have evolved over time,2014,2,2
Investigating gender and ethnicity differences in proximal humeral morphology using a statistical shape model,0.2,0.8,5,1,4,1,1,Investigating gender and ethnicity differences in proximal humeral morphology using a statistical shape model,2018,5-10,5-10
Investigating gender differences in OpenStreetMap activities in Malawi: a small case-study,1.0,0.0,1,1,0,1,0,Investigating gender differences in OpenStreetMap activities in Malawi: a small case-study,2018,1,1
Investigating gender differences in journal selection decisions: A survey of academic researchers,1.0,0.0,2,2,0,1,0,Investigating gender differences in journal selection decisions: A survey of academic researchers,2021,2,2
Investigating gender differences in the factor structure of the Gudjonsson Compliance Scale,0.5,0.5,2,1,1,1,1,Investigating gender differences in the factor structure of the Gudjonsson Compliance Scale,2017,2,2
Investigating m-Health Acceptance from a Protection Motivation Theory Perspective: Gender and Age Differences,0.6,0.4,10,6,4,1,1,Investigating m-Health Acceptance from a Protection Motivation Theory Perspective: Gender and Age Differences,2015,5-10,5-10
Investigating the Competence of Classroom Teachers in Terms of Nominating the Students with High Creativity and Gender-Biased Decisions,0.0,1.0,1,0,1,0,1,Investigating the Competence of Classroom Teachers in Terms of Nominating the Students with High Creativity and Gender-Biased Decisions,2016,1,1
Investigating the Effects of Gender Bias on GitHub,0.33,0.67,6,2,4,1,1,Investigating the Effects of Gender Bias on GitHub,2019,5-10,5-10
Investigating the Gender Wealth Gap Across Occupational Classes,1.0,0.0,2,2,0,1,0,Investigating the Gender Wealth Gap Across Occupational Classes,2021,2,2
Investigating the Impact of Relationship Quality During an Internship on Millennials’ Career Decisions and Gender Differences,0.67,0.33,3,2,1,1,1,Investigating the Impact of Relationship Quality During an Internship on Millennials’ Career Decisions and Gender Differences,2018,3,3
Investigating the Origins of the Gender Gap in Support for War,1.0,0.0,1,1,0,1,0,Investigating the Origins of the Gender Gap in Support for War,2019,1,1
Investigating the effects of gender and age group based differences in identical twins,0.5,0.5,2,1,1,1,1,Investigating the effects of gender and age group based differences in identical twins,2013,2,2
Investigating the gender wealth gap in Ghana,1.0,0.0,1,1,0,1,0,Investigating the gender wealth gap in Ghana,2018,1,1
Investigating the impact of gender differences on alleviating distrust via electronic word-of-mouth,0.25,0.75,4,1,3,1,1,Investigating the impact of gender differences on alleviating distrust via electronic word-of-mouth,2017,4,4
Investigating writing style as a contributor to gender gaps in science and technology,0.67,0.33,3,2,1,1,1,Investigating writing style as a contributor to gender gaps in science and technology,2022,3,3
Investigation and Reflections on Gender Differences in Vocal Music Education,0.0,1.0,2,0,2,0,1,Investigation and Reflections on Gender Differences in Vocal Music Education,2022,2,2
"Investigation of Gender Bias among Students and Faculty at a Small, Private STEM College",1.0,0.0,1,1,0,1,0,"Investigation of Gender Bias among Students and Faculty at a Small, Private STEM College",2018,1,1
Investigation of Gender Bias in Turkish Word Embeddings,0.0,1.0,2,0,2,0,1,Investigation of Gender Bias in Turkish Word Embeddings,2021,2,2
Investigation of Gender Differences and Exclusive Criteria in a Diabetic Acute Ischemic Stroke Population Treated with Recombinant Tissue-Type Plasminogen Activator (rtPA),0.25,0.75,4,1,3,1,1,Investigation of Gender Differences and Exclusive Criteria in a Diabetic Acute Ischemic Stroke Population Treated with Recombinant Tissue-Type Plasminogen Activator (rtPA),2017,4,4
Investigation of Gender Differences in Sleeping Comfort at Different Environmental Temperatures,0.67,0.33,3,2,1,1,1,Investigation of Gender Differences in Sleeping Comfort at Different Environmental Temperatures,2012,3,3
Investigation of gender differences in the cardiovascular actions of direct and indirect sympathomimetic stimulants including cathinone in the anaesthetized rat,0.5,0.5,2,1,1,1,1,Investigation of gender differences in the cardiovascular actions of direct and indirect sympathomimetic stimulants including cathinone in the anaesthetized rat,2016,2,2
Investment Behaviour of Indian Investors: Gender Biasness,0.5,0.5,2,1,1,1,1,Investment Behaviour of Indian Investors: Gender Biasness,2013,2,2
Investor Preference for Director Characteristics: Portfolio Choice with Gender Bias,0.0,1.0,1,0,1,0,1,Investor Preference for Director Characteristics: Portfolio Choice with Gender Bias,2019,1,1
Invisible Empire of Hate: Gender Differences in the Ku Klux Klan's Online Justifications for Violence,0.0,1.0,4,0,4,0,1,Invisible Empire of Hate: Gender Differences in the Ku Klux Klan's Online Justifications for Violence,2018,4,4
Invisible Hurdles: Gender and Institutional Bias in the Publication Process in Economics,1.0,0.0,2,2,0,1,0,Invisible Hurdles: Gender and Institutional Bias in the Publication Process in Economics,2021,2,2
Invited Commentary: The Uneven Gender Revolution and the Gender Gap in Depression in the US,1.0,0.0,1,1,0,1,0,Invited Commentary: The Uneven Gender Revolution and the Gender Gap in Depression in the US,2021,1,1
"Ireland’s Gender Wage Gap, Past and Present",1.0,0.0,1,1,0,1,0,"Ireland’s Gender Wage Gap, Past and Present",2019,1,1
Is COVID-19 gender biased?,0.5,0.5,6,3,3,1,1,Is COVID-19 gender biased?,2021,5-10,5-10
Is Corona Virus Gender Biased? A Crisis within Crisis,0.0,1.0,1,0,1,0,1,Is Corona Virus Gender Biased? A Crisis within Crisis,2020,1,1
Is Emotional Suppression Always Bad? A Matter of Flexibility and Gender Differences,0.67,0.33,3,2,1,1,1,Is Emotional Suppression Always Bad? A Matter of Flexibility and Gender Differences,2019,3,3
Is Fat a Feminist Issue? Exploring the Gendered Nature of Weight Bias,1.0,0.0,2,2,0,1,0,Is Fat a Feminist Issue? Exploring the Gendered Nature of Weight Bias,2012,2,2
Is Gender Destiny? Gender Bias and Intergenerational Educational Mobility in India,0.5,0.5,2,1,1,1,1,Is Gender Destiny? Gender Bias and Intergenerational Educational Mobility in India,2021,2,2
Is Gender Inequality a Barrier to Economic Growth? A Panel Data Analysis of Developing Countries,1.0,0.0,3,3,0,1,0,Is Gender Inequality a Barrier to Economic Growth? A Panel Data Analysis of Developing Countries,2021,3,3
Is Gender in the Pocket of Investors? Identifying Gender Bias Towards CEOs with a Lab Experiment,1.0,0.0,1,1,0,1,0,Is Gender in the Pocket of Investors? Identifying Gender Bias Towards CEOs with a Lab Experiment,2019,1,1
Is Science Built on the Shoulders of Women? A Study of Gender Differences in Contributorship,0.0,1.0,4,0,4,0,1,Is Science Built on the Shoulders of Women? A Study of Gender Differences in Contributorship,2016,4,4
Is She an Expert or Just a Woman? Gender Differences in the Presentation of Experts in TV Talk Shows,0.5,0.5,2,1,1,1,1,Is She an Expert or Just a Woman? Gender Differences in the Presentation of Experts in TV Talk Shows,2014,2,2
Is Technology Widening the Gender Gap? Automation and the Future of Female Employment,1.0,0.0,3,3,0,1,0,Is Technology Widening the Gender Gap? Automation and the Future of Female Employment,2019,3,3
Is There Evidence of Gender Bias in the Oral Examination for Initial Certification by the American Board of Physical Medicine & Rehabilitation?,0.75,0.25,4,3,1,1,1,Is There Evidence of Gender Bias in the Oral Examination for Initial Certification by the American Board of Physical Medicine & Rehabilitation?,2019,4,4
Is There Gender Bias Among Voters ? Evidence from the Chilean Congressional Elections,0.0,1.0,1,0,1,0,1,Is There Gender Bias Among Voters ? Evidence from the Chilean Congressional Elections,2014,1,1
Is There Gender Bias in Perceptions of Strabismus Among Adults?,0.0,1.0,5,0,5,0,1,Is There Gender Bias in Perceptions of Strabismus Among Adults?,2022,5-10,5-10
Is There Gender Bias in Radiology Job Postings?,0.67,0.33,6,4,2,1,1,Is There Gender Bias in Radiology Job Postings?,2022,5-10,5-10
Is There Gender Bias on the American Board of Surgery General Surgery Certifying Examination?,0.0,1.0,4,0,4,0,1,Is There Gender Bias on the American Board of Surgery General Surgery Certifying Examination?,2018,4,4
Is There a Gap in the Gap? Regional Differences in the Gender Pay Gap,0.33,0.67,3,1,2,1,1,Is There a Gap in the Gap? Regional Differences in the Gender Pay Gap,2013,3,3
Is There a Gender Bias Involving Impulsivity and Number of Concussions,0.33,0.67,3,1,2,1,1,Is There a Gender Bias Involving Impulsivity and Number of Concussions,2016,3,3
Is There a Gender Bias in Crime Against Firms for Developing Economies,0.0,1.0,1,0,1,0,1,Is There a Gender Bias in Crime Against Firms for Developing Economies,2013,1,1
Is There a Gender Bias in Crime Against Firms for Developing Economies?,0.0,1.0,1,0,1,0,1,Is There a Gender Bias in Crime Against Firms for Developing Economies?,2012,1,1
Is There a Gender Bias in Deal Making? Evidence From Firm-Level Cross-Country Analysis,0.5,0.5,2,1,1,1,1,Is There a Gender Bias in Deal Making? Evidence From Firm-Level Cross-Country Analysis,2020,2,2
Is There a Gender Bias in Pictorial Representation of Health Care Workers in Patient Education Literature?,0.25,0.75,4,1,3,1,1,Is There a Gender Bias in Pictorial Representation of Health Care Workers in Patient Education Literature?,2018,4,4
Is There a Gender Bias in the Use of Foreign Languages in Europe?,0.0,1.0,2,0,2,0,1,Is There a Gender Bias in the Use of Foreign Languages in Europe?,2013,2,2
Is There a Gender Difference in Cyber-Victimization?: A Meta-Analysis,0.5,0.5,2,1,1,1,1,Is There a Gender Difference in Cyber-Victimization?: A Meta-Analysis,2018,2,2
Is There a Gender Difference in the Response to onabotulinumtoxinA in Chronic Migraine? Insights from a Real-Life European Multicenter Study on 2879 Patients,0.53,0.47,17,9,8,1,1,Is There a Gender Difference in the Response to onabotulinumtoxinA in Chronic Migraine? Insights from a Real-Life European Multicenter Study on 2879 Patients,2021,11-20,11-20
Is There a Gender Difference of Metabolic Syndrome in Hemodialysis,0.5,0.5,2,1,1,1,1,Is There a Gender Difference of Metabolic Syndrome in Hemodialysis,2015,2,2
Is There a Gender Gap in Social Media Metrics?,0.75,0.25,4,3,1,1,1,Is There a Gender Gap in Social Media Metrics?,2015,4,4
Is There a Gender Gap in the Propensity to Travel of People With Disabilities?,0.75,0.25,4,3,1,1,1,Is There a Gender Gap in the Propensity to Travel of People With Disabilities?,2022,4,4
Is There a Gender Pay Gap in Business Schools?,0.25,0.75,4,1,3,1,1,Is There a Gender Pay Gap in Business Schools?,2014,4,4
Is This System Biased? - How Users React to Gender Bias in an Explainable AI System,0.25,0.75,4,1,3,1,1,Is This System Biased? - How Users React to Gender Bias in an Explainable AI System,2021,4,4
Is Trust Gender Biased? A Bibliometric Review of Trust in E-Commerce,0.25,0.75,4,1,3,1,1,Is Trust Gender Biased? A Bibliometric Review of Trust in E-Commerce,2021,4,4
Is Urology a gender-biased career choice? A survey-based study of the Italian medical students' perception of specialties,0.62,0.38,8,5,3,1,1,Is Urology a gender-biased career choice? A survey-based study of the Italian medical students' perception of specialties,2022,5-10,5-10
Is Virtual Reality made for Men only? Exploring Gender Differences in the Sense of Presence,0.4,0.6,5,2,3,1,1,Is Virtual Reality made for Men only? Exploring Gender Differences in the Sense of Presence,2012,5-10,5-10
Is Wikipedia succeeding in reducing gender bias? Assessing changes in gender bias in Wikipedia using word embeddings,0.2,0.8,5,1,4,1,1,Is Wikipedia succeeding in reducing gender bias? Assessing changes in gender bias in Wikipedia using word embeddings,2020,5-10,5-10
Is Women's Place Beyond the Glass Ceiling? The Gender Gap in Academic Psychiatry Publications in Turkey,0.67,0.33,3,2,1,1,1,Is Women's Place Beyond the Glass Ceiling? The Gender Gap in Academic Psychiatry Publications in Turkey,2022,3,3
Is Your Application Gender Biased,0.5,0.5,2,1,1,1,1,Is Your Application Gender Biased,2019,2,2
Is a Reasonable Woman Different from a Reasonable Person? Gender Differences in Perceived Sexual Harassment,0.75,0.25,4,3,1,1,1,Is a Reasonable Woman Different from a Reasonable Person? Gender Differences in Perceived Sexual Harassment,2021,4,4
Is a Widening Gender Wage Gap Necessarily Caused by a Glass Ceiling,1.0,0.0,1,1,0,1,0,Is a Widening Gender Wage Gap Necessarily Caused by a Glass Ceiling,2012,1,1
Is a robot a boy? Japanese children’s and adults’ gender-attribute bias toward robots and its implications for education on gender stereotypes,0.5,0.5,2,1,1,1,1,Is a robot a boy? Japanese children’s and adults’ gender-attribute bias toward robots and its implications for education on gender stereotypes,2021,2,2
Is body shaming predicting poor physical health and is there a gender difference,1.0,0.0,1,1,0,1,0,Is body shaming predicting poor physical health and is there a gender difference,2016,1,1
Is computing for social good the solution to closing the gender gap in computer science?,0.5,0.5,2,1,1,1,1,Is computing for social good the solution to closing the gender gap in computer science?,2016,2,2
Is gender bias een mythe?: Op zoek naar verklaringen voor de beperkte aanwezigheid van vrouwelijke politici in het Vlaamse televisienieuws,1.0,0.0,1,1,0,1,0,Is gender bias een mythe?: Op zoek naar verklaringen voor de beperkte aanwezigheid van vrouwelijke politici in het Vlaamse televisienieuws,2012,1,1
Is gender bias perceived by surgical residents? A survey-based discussion,1.0,0.0,2,2,0,1,0,Is gender bias perceived by surgical residents? A survey-based discussion,2022,2,2
Is gender inequality a barrier to realizing fertility intentions? Fertility aspirations and realizations in South Korea,1.0,0.0,1,1,0,1,0,Is gender inequality a barrier to realizing fertility intentions? Fertility aspirations and realizations in South Korea,2016,1,1
Is gender policy related to the gender gap in external cause and circulatory disease mortality? A mixed effects model of 22 OECD countries 1973–2008,0.25,0.75,4,1,3,1,1,Is gender policy related to the gender gap in external cause and circulatory disease mortality? A mixed effects model of 22 OECD countries 1973–2008,2012,4,4
Is gender-bias in textbooks spilled over from schools to universities? Evidence from Ethiopian university English language course textbooks,0.0,1.0,2,0,2,0,1,Is gender-bias in textbooks spilled over from schools to universities? Evidence from Ethiopian university English language course textbooks,2022,2,2
Is gender-neutral drafting an effective tool against gender inequality within the legal system?,1.0,0.0,1,1,0,1,0,Is gender-neutral drafting an effective tool against gender inequality within the legal system?,2013,1,1
Is it a Gender Gap or a GenderED Gap? Gendered Personalities and Political Behavior,1.0,0.0,1,1,0,1,0,Is it a Gender Gap or a GenderED Gap? Gendered Personalities and Political Behavior,2013,1,1
Is it a WoMan’s World? Gender Stereotypes and Social Role Inequalities in Commercials,1.0,0.0,1,1,0,1,0,Is it a WoMan’s World? Gender Stereotypes and Social Role Inequalities in Commercials,2022,1,1
"Is obesity becoming the new normal? Age, gender and racial/ethnic differences in parental misperception of obesity as being ‘About the Right Weight’",0.6,0.4,5,3,2,1,1,"Is obesity becoming the new normal? Age, gender and racial/ethnic differences in parental misperception of obesity as being ‘About the Right Weight’",2016,5-10,5-10
Is social choice gender-neutral? Reference dependence and sexual selection in decisions toward risk and inequality,0.33,0.67,3,1,2,1,1,Is social choice gender-neutral? Reference dependence and sexual selection in decisions toward risk and inequality,2016,3,3
Is the 'MS establishment' biased; the case for addressing gender inequality in the field of MS?,0.0,1.0,1,0,1,0,1,Is the 'MS establishment' biased; the case for addressing gender inequality in the field of MS?,2019,1,1
Is the Achievement Motive Gender-Biased? The Validity of TAT/PSE in Women and Men,1.0,0.0,1,1,0,1,0,Is the Achievement Motive Gender-Biased? The Validity of TAT/PSE in Women and Men,2017,1,1
Is the BJ Review Process Gender-Biased?,1.0,0.0,1,1,0,1,0,Is the BJ Review Process Gender-Biased?,2018,1,1
Is the Gender Gap in College Enrollment Influenced by Nonmarital Birth Rates and Father Absence,0.0,1.0,3,0,3,0,1,Is the Gender Gap in College Enrollment Influenced by Nonmarital Birth Rates and Father Absence,2016,3,3
Is the Gender Gap in Venture Funding Driven by Biased Investors?,1.0,0.0,1,1,0,1,0,Is the Gender Gap in Venture Funding Driven by Biased Investors?,2020,1,1
Is the Gender Pay Gap in the US Just the Result of Gender Segregation at Work?,0.33,0.67,3,1,2,1,1,Is the Gender Pay Gap in the US Just the Result of Gender Segregation at Work?,2017,3,3
